,Anchor,Positive
0,474,414
1,474,647
2,474,790
3,474,429
4,474,504
5,474,161
6,474,448
7,474,797
8,474,437
9,474,259
0,649,640
1,649,885
2,649,610
3,649,783
4,649,515
5,649,723
6,649,837
7,649,147
8,649,732
0,900,593
1,900,724
2,900,607
3,900,468
4,900,263
5,900,418
6,900,733
7,900,455
0,470,475
1,470,500
2,470,707
3,470,521
4,470,189
5,470,909
6,470,64
7,470,462
8,470,369
0,199,910
1,199,802
2,199,317
3,199,658
0,106,292
0,919,570
1,919,603
2,919,521
3,919,523
4,919,189
5,919,909
6,919,64
7,919,612
0,127,640
1,127,885
2,127,610
3,127,783
4,127,515
5,127,723
6,127,837
7,127,147
8,127,732
0,37,761
1,37,172
2,37,252
3,37,842
4,37,556
5,37,144
6,37,251
7,37,410
8,37,898
9,37,66
0,555,414
1,555,647
2,555,790
3,555,429
4,555,504
5,555,389
6,555,448
7,555,797
8,555,437
9,555,259
0,302,414
1,302,647
2,302,790
3,302,429
4,302,504
5,302,389
6,302,680
7,302,448
8,302,797
9,302,437
0,265,640
1,265,751
2,265,240
3,265,885
4,265,601
5,265,515
6,265,723
7,265,550
8,265,391
9,265,856
0,257,834
1,257,172
2,257,252
3,257,556
4,257,144
5,257,251
6,257,410
7,257,898
8,257,66
0,35,911
1,35,306
2,35,141
3,35,296
0,566,414
1,566,647
2,566,790
3,566,429
4,566,504
5,566,389
6,566,680
7,566,448
8,566,797
9,566,437
0,978,724
1,978,607
2,978,359
3,978,866
4,978,733
5,978,455
6,978,396
7,978,896
0,789,80
1,789,44
2,789,73
0,405,124
1,405,761
2,405,331
3,405,172
4,405,252
5,405,410
6,405,954
7,405,898
8,405,66
9,405,139
0,213,727
1,213,602
2,213,124
3,213,331
4,213,614
5,213,410
6,213,954
7,213,83
8,213,801
9,213,995
0,814,952
1,814,826
2,814,779
3,814,211
4,814,258
5,814,312
6,814,347
0,228,647
1,228,922
2,228,466
3,228,634
4,228,15
5,228,389
6,228,680
7,228,448
8,228,437
9,228,582
0,315,593
1,315,724
2,315,607
3,315,974
4,315,468
5,315,263
6,315,418
7,315,733
0,545,414
1,545,647
2,545,790
3,545,429
4,545,504
5,545,389
6,545,448
7,545,797
8,545,437
9,545,259
0,505,414
1,505,647
2,505,790
3,505,429
4,505,504
5,505,389
6,505,448
7,505,797
8,505,437
9,505,259
0,642,911
1,642,306
2,642,141
3,642,910
4,642,675
5,642,296
0,242,911
1,242,141
2,242,910
3,242,675
4,242,296
0,409,640
1,409,751
2,409,240
3,409,885
4,409,601
5,409,161
6,409,723
7,409,550
8,409,391
9,409,856
0,449,647
1,449,922
2,449,466
3,449,634
4,449,389
5,449,680
6,449,448
7,449,582
8,449,702
0,819,414
1,819,647
2,819,790
3,819,429
4,819,504
5,819,389
6,819,680
7,819,448
8,819,797
9,819,437
0,540,647
1,540,922
2,540,466
3,540,634
4,540,389
5,540,680
6,540,448
7,540,582
8,540,702
0,627,647
1,627,611
2,627,922
3,627,747
4,627,634
