,Anchor,Positive
0,3080,25045
1,3080,7376
2,3080,25084
3,3080,7171
4,3080,36651
5,3080,24059
6,3080,24057
7,3080,24094
8,3080,40463
9,3080,24072
0,20276,12046
1,20276,21047
2,20276,16688
3,20276,8179
4,20276,19802
5,20276,19529
6,20276,5619
7,20276,12002
8,20276,6959
9,20276,33174
0,2895,25045
1,2895,7376
2,2895,25084
3,2895,7171
4,2895,36651
5,2895,24059
6,2895,24057
7,2895,24094
8,2895,40463
9,2895,24072
0,11864,12046
1,11864,21047
2,11864,16688
3,11864,8179
4,11864,19802
5,11864,19529
6,11864,5619
7,11864,6959
8,11864,33174
9,11864,20343
0,23350,12046
1,23350,21047
2,23350,16688
3,23350,8179
4,23350,19802
5,23350,19529
6,23350,5619
7,23350,6959
8,23350,33174
9,23350,20343
0,27392,25045
1,27392,7376
2,27392,25084
3,27392,7171
4,27392,36651
5,27392,24059
6,27392,5619
7,27392,24057
8,27392,24094
9,27392,40463
0,37210,37598
1,37210,35280
2,37210,37774
3,37210,35120
4,37210,30693
5,37210,36978
6,37210,37416
7,37210,37005
8,37210,37543
9,37210,37277
0,9799,12046
1,9799,21047
2,9799,16688
3,9799,8179
4,9799,19802
5,9799,19529
6,9799,5619
7,9799,6959
8,9799,33174
9,9799,20343
0,8154,12046
1,8154,21047
2,8154,16688
3,8154,8179
4,8154,19802
5,8154,19529
6,8154,5619
7,8154,12002
8,8154,6959
9,8154,33174
0,9510,12046
1,9510,21047
2,9510,16688
3,9510,8179
4,9510,19802
5,9510,19529
6,9510,5619
7,9510,15787
8,9510,12002
9,9510,6959
0,37301,33431
1,37301,40669
2,37301,40431
3,37301,40911
4,37301,40189
5,37301,36391
6,37301,40203
7,37301,37710
8,37301,39954
9,37301,37524
0,17047,12046
1,17047,21047
2,17047,16688
3,17047,8179
4,17047,19802
5,17047,19529
6,17047,5619
7,17047,15787
8,17047,12002
9,17047,6959
0,15260,12046
1,15260,21047
2,15260,16688
3,15260,8179
4,15260,19802
5,15260,19529
6,15260,5619
7,15260,12002
8,15260,6959
9,15260,33174
0,20546,12046
1,20546,21047
2,20546,16688
3,20546,8179
4,20546,19802
5,20546,19529
6,20546,5619
7,20546,12002
8,20546,6959
9,20546,33174
0,36836,37598
1,36836,35280
2,36836,37774
3,36836,35120
4,36836,30693
5,36836,36978
6,36836,37416
7,36836,37005
8,36836,37543
9,36836,37277
0,10739,12046
1,10739,21047
2,10739,16688
3,10739,8179
4,10739,19802
5,10739,19529
6,10739,5619
7,10739,15787
8,10739,12002
9,10739,6959
0,2552,25045
1,2552,7376
2,2552,25084
3,2552,7171
4,2552,36651
5,2552,24059
6,2552,24057
7,2552,24094
8,2552,40463
9,2552,24072
0,30860,34021
1,30860,35280
2,30860,30267
3,30860,35120
4,30860,30693
5,30860,30065
6,30860,35743
7,30860,30270
8,30860,35068
9,30860,33908
0,41094,40669
1,41094,40431
2,41094,40911
3,41094,40516
4,41094,36779
5,41094,36391
6,41094,37710
7,41094,37524
8,41094,36224
9,41094,38400
0,23598,12046
1,23598,21047
2,23598,16688
3,23598,8179
4,23598,19802
5,23598,19529
6,23598,5619
7,23598,12002
8,23598,6959
9,23598,33174
0,22876,12046
1,22876,21047
2,22876,16688
3,22876,8179
4,22876,19802
5,22876,19529
6,22876,5619
7,22876,15787
8,22876,12002
9,22876,6959
0,26228,25045
1,26228,7376
2,26228,25084
3,26228,7171
4,26228,36651
5,26228,24059
6,26228,5619
7,26228,24057
8,26228,24094
9,26228,40463
0,14759,12046
1,14759,21047
2,14759,16688
3,14759,8179
4,14759,19802
5,14759,19529
6,14759,5619
7,14759,12002
8,14759,6959
9,14759,33174
0,22796,12046
1,22796,21047
2,22796,16688
3,22796,8179
4,22796,19802
5,22796,19529
6,22796,5619
7,22796,12002
8,22796,6959
9,22796,33174
0,24582,25045
1,24582,7376
