,Anchor,Positive
0,474,308
1,474,797
2,474,350
3,474,955
4,474,492
5,474,445
0,649,562
0,919,612
0,302,47
0,265,723
0,257,372
1,257,584
0,566,647
1,566,922
2,566,634
3,566,582
4,566,702
5,566,219
6,566,196
0,213,954
1,213,577
0,315,468
1,315,263
0,505,875
1,505,238
0,409,215
1,409,697
2,409,102
0,449,399
0,819,47
0,540,267
1,540,526
2,540,399
0,627,448
1,627,679
0,963,866
1,963,276
2,963,69
0,170,215
1,170,483
0,559,842
1,559,577
0,307,610
0,188,562
0,578,770
0,878,987
1,878,85
0,979,797
1,979,604
0,528,795
0,184,873
1,184,836
0,588,831
1,588,708
2,588,955
3,588,221
0,949,537
1,949,613
0,594,634
1,594,219
2,594,47
0,580,664
0,754,82
1,754,592
0,720,47
1,720,875
0,598,468
1,598,418
0,535,600
0,759,562
0,621,267
1,621,526
2,621,399
0,194,539
0,648,215
1,648,102
2,648,483
0,674,396
0,853,448
1,853,345
2,853,679
0,935,577
0,946,612
0,13,790
1,13,429
2,13,504
3,13,831
4,13,708
5,13,221
0,861,66
0,766,500
0,412,144
1,412,795
0,624,896
0,656,873
1,656,836
0,313,562
0,62,410
1,62,58
2,62,393
0,948,267
1,948,526
2,948,399
0,89,883
0,137,976
0,757,15
1,757,797
2,757,437
3,757,604
4,757,382
0,652,795
0,237,468
1,237,418
0,74,58
0,510,640
1,510,610
2,510,732
3,510,976
0,925,562
0,503,831
1,503,708
2,503,955
3,503,221
0,561,267
1,561,526
0,321,842
1,321,577
0,807,601
1,807,215
2,807,697
3,807,102
0,254,546
0,839,896
0,225,896
1,225,691
0,149,592
0,625,58
0,0,259
0,234,267
1,234,526
0,660,437
1,660,86
2,660,382
3,660,238
0,989,995
0,283,267
1,283,526
2,283,399
0,401,954
1,401,139
0,164,601
1,164,856
2,164,697
0,891,602
1,891,920
0,281,592
0,587,15
1,587,437
2,587,86
3,587,604
4,587,382
5,587,238
0,26,750
0,871,47
0,859,908
1,859,967
0,269,391
0,365,267
1,365,526
0,787,468
1,787,263
0,198,468
1,198,263
0,782,987
1,782,14
2,782,271
3,782,45
4,782,85
0,803,391
1,803,483
0,756,86
1,756,382
2,756,238
0,666,523
1,666,777
0,745,801
0,125,584
0,28,276
0,497,592
0,425,468
1,425,418
0,532,638
1,532,399
0,643,602
1,643,331
2,643,623
0,187,429
0,857,612
0,245,747
1,245,797
2,245,604
3,245,445
0,609,86
1,609,382
2,609,238
0,38,831
1,38,611
2,38,308
3,38,350
4,38,955
5,38,492
0,547,82
0,115,908
1,115,967
0,60,647
1,60,582
2,60,702
3,60,14
4,60,271
5,60,45
0,512,455
0,663,664
0,605,770
0,478,664
0,848,922
1,848,634
2,848,702
3,848,219
4,848,47
5,848,196
0,214,612
0,55,723
0,123,723
0,403,723
0,508,987
1,508,14
2,508,271
3,508,85
0,694,144
1,694,795
0,709,336
1,709,584
0,774,638
0,644,331
1,644,954
2,644,139
0,519,562
0,421,546
0,339,267
1,339,526
2,339,399
0,695,308
1,695,350
2,695,955
3,695,492
4,695,445
0,990,967
0,158,777
0,297,15
1,297,437
2,297,86
3,297,604
4,297,382
5,297,238
0,533,875
0,852,679
0,388,600
0,173,987
1,173,14
2,173,271
3,173,85
0,823,640
1,823,610
0,626,336
1,626,584
0,928,331
1,928,139
2,928,623
0,904,15
1,904,437
2,904,86
3,904,604
4,904,382
5,904,238
0,962,967
0,390,602
1,390,614
2,390,920
0,356,600
0,84,600
1,84,795
0,942,601
1,942,215
2,942,697
3,942,102
0,110,345
1,110,679
0,698,801
1,698,920
0,447,396
0,97,691
0,886,770
0,40,600
0,440,954
1,440,139
0,669,369
0,23,801
1,23,920
0,877,537
1,877,341
2,877,908
0,740,600
0,729,15
1,729,797
2,729,437
3,729,604
4,729,382
5,729,238
0,476,396
0,810,601
1,810,856
0,232,252
1,232,372
2,232,584
0,970,526
1,970,399
0,358,732
0,352,189
0,162,797
1,162,604
2,162,445
0,490,842
1,490,577
0,906,347
1,906,487
0,551,995
0,686,47
0,98,600
0,992,842
1,992,577
0,678,69
0,93,537
1,93,341
2,93,613
0,820,883
0,264,611
1,264,308
2,264,350
3,264,955
4,264,492
5,264,445
0,303,664
0,176,396
0,997,723
0,481,790
1,481,429
2,481,504
3,481,831
4,481,708
5,481,221
0,943,345
1,943,679
0,741,664
0,109,987
1,109,14
2,109,271
3,109,45
4,109,85
0,30,577
0,434,252
1,434,372
2,434,584
0,843,592
0,52,797
1,52,604
2,52,445
0,159,954
1,159,139
0,781,842
1,781,577
2,781,393
0,376,600
0,101,600
0,567,396
0,422,197
1,422,483
0,71,610
0,847,308
1,847,797
2,847,350
3,847,955
4,847,492
5,847,445
0,792,831
1,792,308
2,792,350
3,792,708
4,792,955
5,792,492
0,256,455
0,960,995
0,453,455
0,432,331
1,432,139
2,432,623
0,696,883
0,641,875
1,641,238
0,994,866
1,994,276
2,994,69
0,579,215
1,579,697
2,579,102
0,635,647
1,635,582
2,635,702
3,635,987
4,635,14
5,635,271
0,51,73
0,209,987
1,209,14
2,209,271
3,209,85
0,785,842
1,785,577
2,785,393
0,730,292
0,530,144
0,930,995
0,816,47
1,816,875
0,882,66
0,392,189
0,408,189
0,178,58
1,178,393
0,498,86
1,498,382
2,498,238
0,905,883
0,145,967
0,892,66
0,270,455
