,Anchor,Positive
0,474,414
1,474,647
2,474,790
3,474,429
4,474,504
5,474,797
6,474,437
7,474,259
8,474,582
9,474,702
0,649,640
1,649,885
2,649,610
3,649,783
4,649,515
5,649,723
6,649,837
7,649,147
8,649,732
0,900,593
1,900,724
2,900,607
3,900,468
4,900,263
5,900,418
6,900,733
7,900,455
0,470,475
1,470,500
2,470,707
3,470,521
4,470,189
5,470,909
6,470,64
7,470,462
8,470,369
0,199,802
1,199,317
2,199,658
0,106,292
0,919,570
1,919,603
2,919,521
3,919,523
4,919,189
5,919,909
6,919,612
0,127,640
1,127,885
2,127,610
3,127,515
4,127,723
5,127,837
6,127,147
7,127,732
0,37,172
1,37,252
2,37,842
3,37,251
4,37,410
5,37,898
6,37,66
7,37,385
0,555,414
1,555,647
2,555,790
3,555,429
4,555,504
5,555,389
6,555,448
7,555,797
8,555,437
9,555,582
0,302,414
1,302,647
2,302,790
3,302,429
4,302,504
5,302,389
6,302,448
7,302,797
8,302,437
9,302,582
0,265,640
1,265,240
2,265,885
3,265,601
4,265,610
5,265,723
6,265,856
7,265,215
8,265,147
9,265,732
0,257,172
1,257,252
2,257,556
3,257,144
4,257,251
5,257,898
6,257,66
7,257,795
0,35,911
1,35,306
2,35,141
3,35,296
0,566,647
1,566,831
2,566,611
3,566,922
4,566,747
5,566,389
6,566,448
7,566,797
8,566,437
9,566,582
0,978,607
1,978,359
2,978,866
3,978,733
4,978,455
5,978,396
6,978,896
0,789,80
1,789,44
2,789,73
0,405,124
1,405,761
2,405,172
3,405,252
4,405,842
5,405,410
6,405,954
7,405,898
8,405,66
9,405,139
0,213,727
1,213,602
2,213,124
3,213,331
4,213,614
5,213,410
6,213,954
7,213,83
8,213,801
9,213,139
0,814,826
1,814,779
2,814,211
3,814,258
0,228,647
1,228,922
2,228,634
3,228,389
4,228,680
5,228,448
6,228,582
7,228,702
0,315,593
1,315,607
2,315,974
3,315,468
4,315,263
5,315,418
6,315,733
0,545,414
1,545,647
2,545,790
3,545,429
4,545,504
5,545,389
6,545,448
7,545,797
8,545,437
9,545,582
0,505,414
1,505,647
2,505,790
3,505,429
4,505,504
5,505,389
6,505,448
7,505,797
8,505,437
9,505,259
0,642,911
1,642,675
2,642,296
0,242,911
1,242,910
2,242,675
3,242,296
0,409,240
1,409,885
2,409,601
3,409,197
4,409,783
5,409,161
6,409,723
7,409,550
8,409,391
9,409,856
0,449,647
1,449,922
2,449,466
3,449,634
4,449,389
5,449,680
6,449,448
7,449,582
8,449,702
0,819,414
1,819,647
2,819,790
3,819,429
4,819,504
5,819,389
6,819,448
7,819,797
8,819,437
9,819,582
0,540,647
1,540,466
2,540,389
3,540,680
4,540,448
5,540,582
6,540,702
0,627,647
1,627,922
2,627,747
3,627,634
4,627,15
5,627,389
6,627,680
7,627,448
8,627,437
9,627,582
0,706,292
0,963,359
1,963,556
2,963,144
3,963,251
4,963,866
5,963,600
6,963,795
0,840,705
1,840,760
2,840,833
0,170,240
1,170,885
2,170,601
