,Anchor,Positive
0,474,429
1,474,504
2,474,831
3,474,611
4,474,747
5,474,797
6,474,437
7,474,350
8,474,708
9,474,86
0,649,562
0,900,733
1,900,455
2,900,396
3,900,896
4,900,691
0,470,500
1,470,539
0,199,317
0,106,292
0,919,612
0,127,837
1,127,147
2,127,562
0,37,172
1,37,252
2,37,372
3,37,336
4,37,584
0,555,922
1,555,634
2,555,15
3,555,437
4,555,702
5,555,219
6,555,47
7,555,86
0,302,647
1,302,922
2,302,634
3,302,582
4,302,702
5,302,219
6,302,47
7,302,86
0,265,885
1,265,783
2,265,723
3,265,732
4,265,976
0,257,252
1,257,898
2,257,66
3,257,372
4,257,336
5,257,584
0,35,141
0,566,647
1,566,922
2,566,634
3,566,448
4,566,582
5,566,702
6,566,219
7,566,987
0,978,396
1,978,746
0,789,73
0,405,96
1,405,546
0,213,124
1,213,331
2,213,842
3,213,954
4,213,139
5,213,577
6,213,623
7,213,58
0,228,448
1,228,934
2,228,345
3,228,526
4,228,679
0,315,593
1,315,468
2,315,263
3,315,418
0,545,647
1,545,922
2,545,634
3,545,15
4,545,437
5,545,582
6,545,702
7,545,219
8,545,47
0,505,634
1,505,15
2,505,797
3,505,437
4,505,47
5,505,86
6,505,604
0,642,296
0,409,240
1,409,601
2,409,197
3,409,391
4,409,856
5,409,215
6,409,697
7,409,102
0,449,267
1,449,934
2,449,345
3,449,526
4,449,638
0,819,647
1,819,922
2,819,634
3,819,582
4,819,702
5,819,219
6,819,47
7,819,86
0,540,82
1,540,267
2,540,934
3,540,526
4,540,592
0,627,389
1,627,448
2,627,582
3,627,987
4,627,345
0,963,866
1,963,276
2,963,69
0,170,240
1,170,601
2,170,197
3,170,550
4,170,391
5,170,215
6,170,697
7,170,102
0,472,837
1,472,147
2,472,562
0,559,124
1,559,842
2,559,410
3,559,954
4,559,139
5,559,577
6,559,58
0,307,640
1,307,610
2,307,147
3,307,732
4,307,976
5,307,562
0,188,562
0,578,418
1,578,770
0,878,647
1,878,389
2,878,448
3,878,582
4,878,702
5,878,987
0,979,611
1,979,747
2,979,308
3,979,15
4,979,797
5,979,437
6,979,350
7,979,86
8,979,955
0,528,556
1,528,144
2,528,251
3,528,600
4,528,795
0,184,601
1,184,783
2,184,856
3,184,215
4,184,697
5,184,873
6,184,102
0,588,790
1,588,429
2,588,504
3,588,831
4,588,611
5,588,797
6,588,350
7,588,708
8,588,955
9,588,221
0,949,480
1,949,537
2,949,630
3,949,341
4,949,908
0,558,480
1,558,341
2,558,777
3,558,908
4,558,967
0,594,647
1,594,922
2,594,634
3,594,582
4,594,702
5,594,219
6,594,987
7,594,47
0,813,369
1,813,539
0,731,410
1,731,96
2,731,58
3,731,393
4,731,546
0,597,658
0,580,664
1,580,288
2,580,883
0,754,82
1,754,267
2,754,526
3,754,592
4,754,399
0,653,70
0,720,647
1,720,922
2,720,634
3,720,437
4,720,582
5,720,702
6,720,219
7,720,47
0,598,468
1,598,263
2,598,418
3,598,770
0,535,556
1,535,144
2,535,600
3,535,795
0,759,610
1,759,147
2,759,562
0,454,141
0,495,462
1,495,369
2,495,539
0,621,82
1,621,267
2,621,934
3,621,526
4,621,592
0,194,369
1,194,539
0,543,767
1,543,770
0,182,441
0,648,240
1,648,601
2,648,197
3,648,550
4,648,391
5,648,856
6,648,215
7,648,697
0,674,733
1,674,396
2,674,896
3,674,691
0,273,462
1,273,539
0,853,448
1,853,582
2,853,987
3,853,345
4,853,679
0,54,251
1,54,898
2,54,385
3,54,362
0,935,124
1,935,842
2,935,410
3,935,954
4,935,139
5,935,577
6,935,58
0,946,612
0,13,790
1,13,429
2,13,504
3,13,831
4,13,611
5,13,259
6,13,350
7,13,708
8,13,955
9,13,221
0,861,252
1,861,898
2,861,66
3,861,372
4,861,584
0,56,292
0,289,161
1,289,550
2,289,391
3,289,664
0,766,500
0,412,556
1,412,144
2,412,251
3,412,600
4,412,795
5,412,385
0,624,733
1,624,396
2,624,896
3,624,691
0,656,601
1,656,783
2,656,856
3,656,215
4,656,697
5,656,873
6,656,102
0,313,562
0,62,842
1,62,410
2,62,577
3,62,58
4,62,393
0,948,82
1,948,267
2,948,934
3,948,526
4,948,592
0,89,161
1,89,259
2,89,288
3,89,883
0,137,640
1,137,885
2,137,610
3,137,723
4,137,732
5,137,976
0,849,640
1,849,610
2,849,147
3,849,732
4,849,976
5,849,562
0,822,593
1,822,607
2,822,468
3,822,263
4,822,455
0,757,747
1,757,308
2,757,15
3,757,797
4,757,437
5,757,350
6,757,86
7,757,955
0,652,556
1,652,144
2,652,251
3,652,600
4,652,795
0,191,779
1,191,211
2,191,258
0,237,593
1,237,468
2,237,263
3,237,418
4,237,770
0,368,523
0,74,842
1,74,410
2,74,96
3,74,577
4,74,58
5,74,393
0,510,640
1,510,885
2,510,610
3,510,723
4,510,732
5,510,976
0,349,166
1,349,259
2,349,288
3,349,883
0,914,500
1,914,521
2,914,909
3,914,64
0,918,359
1,918,866
2,918,600
3,918,276
4,918,69
0,622,779
0,925,640
1,925,610
2,925,147
3,925,562
0,503,790
1,503,429
2,503,504
3,503,831
4,503,611
5,503,797
6,503,350
7,503,708
8,503,955
9,503,221
0,561,82
1,561,267
2,561,934
3,561,526
4,561,592
0,321,842
1,321,410
2,321,954
3,321,577
4,321,58
5,321,393
0,807,240
1,807,601
2,807,197
3,807,391
4,807,856
5,807,215
6,807,697
7,807,102
0,254,96
1,254,546
0,839,733
1,839,396
2,839,896
3,839,691
0,225,733
1,225,396
2,225,896
3,225,691
0,937,96
1,937,336
2,937,546
0,183,258
1,183,312
2,183,347
3,183,487
0,149,82
1,149,267
2,149,526
3,149,592
4,149,441
0,461,995
0,625,410
1,625,96
2,625,577
3,625,58
4,625,393
0,322,767
0,687,767
1,687,770
0,316,640
1,316,610
2,316,147
3,316,732
4,316,976
5,316,562
0,0,790
1,0,429
2,0,504
3,0,831
4,0,166
5,0,259
6,0,708
7,0,221
0,234,82
1,234,267
2,234,934
3,234,526
4,234,592
0,660,15
1,660,797
2,660,437
3,660,86
4,660,604
5,660,875
0,989,801
1,989,995
0,53,612
0,283,82
1,283,267
2,283,934
3,283,526
4,283,592
0,401,727
1,401,602
2,401,124
3,401,331
